instrument,alpha,key,text,label
NEO5-20,0.91,1,Am the life of the party.,Extraversion
NEO5-20,0.91,1,Know how to captivate people.,Extraversion
NEO5-20,0.91,1,Start conversations.,Extraversion
NEO5-20,0.91,1,Warm up quickly to others.,Extraversion
NEO5-20,0.91,1,Talk to a lot of different people at parties.,Extraversion
NEO5-20,0.91,1,Don't mind being the center of attention.,Extraversion
NEO5-20,0.91,1,Cheer people up.,Extraversion
NEO5-20,0.91,-1,Have little to say.,Extraversion
NEO5-20,0.91,-1,Keep in the background.,Extraversion
NEO5-20,0.91,-1,Would describe my experiences as somewhat dull.,Extraversion
NEO5-20,0.91,-1,Don't like to draw attention to myself.,Extraversion
NEO5-20,0.91,-1,Don't talk a lot.,Extraversion
NEO5-20,0.91,-1,Avoid contacts with others.,Extraversion
NEO5-20,0.91,-1,Am hard to get to know.,Extraversion
NEO5-20,0.91,-1,Retreat from others.,Extraversion
NEO5-20,0.91,-1,Find it difficult to approach others.,Extraversion
NEO5-20,0.91,-1,Keep others at a distance.,Extraversion
NEO5-20,0.91,1,Often feel blue.,Neuroticism
NEO5-20,0.91,1,Dislike myself.,Neuroticism
NEO5-20,0.91,1,Am often down in the dumps.,Neuroticism
NEO5-20,0.91,1,Have frequent mood swings.,Neuroticism
NEO5-20,0.91,1,Panic easily.,Neuroticism
NEO5-20,0.91,1,Am filled with doubts about things.,Neuroticism
NEO5-20,0.91,1,Feel threatened easily.,Neuroticism
NEO5-20,0.91,1,Get stressed out easily.,Neuroticism
NEO5-20,0.91,1,Fear for the worst.,Neuroticism
NEO5-20,0.91,1,Worry about things.,Neuroticism
NEO5-20,0.91,-1,Seldom feel blue.,Neuroticism
NEO5-20,0.91,-1,Feel comfortable with myself.,Neuroticism
NEO5-20,0.91,-1,Rarely get irritated.,Neuroticism
NEO5-20,0.91,-1,Am not easily bothered by things.,Neuroticism
NEO5-20,0.91,-1,Am very pleased with myself.,Neuroticism
NEO5-20,0.91,-1,Am relaxed most of the time.,Neuroticism
NEO5-20,0.91,-1,Seldom get mad.,Neuroticism
NEO5-20,0.91,-1,Am not easily frustrated.,Neuroticism
NEO5-20,0.91,-1,Remain calm under pressure.,Neuroticism
NEO5-20,0.91,-1,Rarely lose my composure.,Neuroticism
NEO5-20,0.89,1,Believe in the importance of art.,Openness To Experience
NEO5-20,0.89,1,Have a vivid imagination.,Openness To Experience
NEO5-20,0.89,1,Tend to vote for liberal political candidates.,Openness To Experience
NEO5-20,0.89,1,Carry the conversation to a higher level.,Openness To Experience
NEO5-20,0.89,1,Enjoy hearing new ideas.,Openness To Experience
NEO5-20,0.89,1,Enjoy thinking about things.,Openness To Experience
NEO5-20,0.89,1,Can say things beautifully.,Openness To Experience
NEO5-20,0.89,1,Enjoy wild flights of fantasy.,Openness To Experience
NEO5-20,0.89,1,Get excited by new ideas.,Openness To Experience
NEO5-20,0.89,1,Have a rich vocabulary.,Openness To Experience
NEO5-20,0.89,-1,Am not interested in abstract ideas.,Openness To Experience
NEO5-20,0.89,-1,Do not like art.,Openness To Experience
NEO5-20,0.89,-1,Avoid philosophical discussions.,Openness To Experience
NEO5-20,0.89,-1,Do not enjoy going to art museums.,Openness To Experience
NEO5-20,0.89,-1,Tend to vote for conservative political candidates.,Openness To Experience
NEO5-20,0.89,-1,Do not like poetry.,Openness To Experience
NEO5-20,0.89,-1,Rarely look for a deeper meaning in things.,Openness To Experience
NEO5-20,0.89,-1,Believe that too much tax money goes to support artists.,Openness To Experience
NEO5-20,0.89,-1,Am not interested in theoretical discussions.,Openness To Experience
NEO5-20,0.89,-1,Have difficulty understanding abstract ideas.,Openness To Experience
